567 3452
v 473 27491
v 474 24238
v 475 18120
v 476 17009
v 477 21588
v 478 16656
v 479 18588
v 480 16166
v 481 26764
v 482 21966
v 483 17207
v 484 24109
v 485 20118
v 486 19083
v 487 19349
v 488 23433
v 489 23285
v 490 17980
v 491 17847
v 492 56841
v 493 18009
v 494 8372
v 495 23943
v 496 14967
v 497 18277
v 498 8248
v 499 18681
v 500 15611
v 501 15723
v 502 19696
v 503 22672
v 504 25529
v 505 20422
v 506 18052
v 507 14210
v 508 28875
v 509 27291
v 510 28701
v 511 17947
v 512 22118
v 513 26862
v 514 15928
v 515 15627
v 516 22901
v 517 27310
v 518 27259
v 519 24992
v 520 29426
v 521 31631
v 522 23616
v 523 26563
v 524 21059
v 525 22723
v 526 20245
v 527 19182
v 528 32776
v 529 26788
v 530 22389
v 531 23096
v 532 33890
v 533 14961
v 534 3277
v 535 20236
v 536 12210
v 537 5018
v 538 11345
v 539 8745
v 540 20035
v 541 16315
v 542 15781
v 543 21539
v 544 16368
v 545 22257
v 546 22692
v 547 22920
v 548 18393
v 549 21446
v 550 29095
v 551 24568
v 552 11853
v 553 30714
v 554 22719
v 555 18816
v 556 12842
v 557 34662
v 558 17622
v 559 11714
v 560 21449
v 561 17922
v 562 21989
v 563 30076
v 564 22844
v 565 24506
e 0 11 4361.291004446041
e 11 0 4361.291004446041
e 0 247 2251.1614889755056
e 247 0 2251.1614889755056
e 0 241 3886.7792717252414
e 241 0 3886.7792717252414
e 0 246 3172.17502853062
e 246 0 3172.17502853062
e 11 333 0.0
e 333 11 0.0
e 11 249 3410.512633098084
e 249 11 3410.512633098084
e 11 336 1478.87454314976
e 336 11 1478.87454314976
e 11 335 2294.777351837311
e 335 11 2294.777351837311
e 11 247 1361.1490591080365
e 247 11 1361.1490591080365
e 11 246 3541.717775404235
e 246 11 3541.717775404235
e 247 12 1410.609012045856
e 12 247 1410.609012045856
e 247 249 5783.004786138761
e 249 247 5783.004786138761
e 247 211 2596.3338390410813
e 211 247 2596.3338390410813
e 247 238 3509.0621424853057
e 238 247 3509.0621424853057
e 247 241 4622.770902165096
e 241 247 4622.770902165096
e 241 238 3934.5375895206776
e 238 241 3934.5375895206776
e 241 239 3703.107288124293
e 239 241 3703.107288124293
e 241 246 1909.919781834331
e 246 241 1909.919781834331
e 246 335 2306.4006914540837
e 335 246 2306.4006914540837
e 246 239 4064.4306281197482
e 239 246 4064.4306281197482
e 246 350 3497.461444724676
e 350 246 3497.461444724676
e 246 232 4264.957988034944
e 232 246 4264.957988034944
e 333 267 6087.8655036532455
e 267 333 6087.8655036532455
e 333 362 6347.689649527918
e 362 333 6347.689649527918
e 333 250 3359.9781098415633
e 250 333 3359.9781098415633
e 333 332 3978.521952958204
e 332 333 3978.521952958204
e 333 249 2124.1988792023994
e 249 333 2124.1988792023994
e 333 336 6209.735717070174
e 336 333 6209.735717070174
e 333 335 1315.2497969305662
e 335 333 1315.2497969305662
e 249 12 6009.730541725461
e 12 249 6009.730541725461
e 249 250 8517.911707398658
e 250 249 8517.911707398658
e 249 336 0.0
e 336 249 0.0
e 336 335 6776.1827165293935
e 335 336 6776.1827165293935
e 335 332 3836.366161801946
e 332 335 3836.366161801946
e 335 328 4143.771508696825
e 328 335 4143.771508696825
e 335 331 1693.0067787826044
e 331 335 1693.0067787826044
e 335 350 5818.129969579079
e 350 335 5818.129969579079
e 12 252 5521.904113616873
e 252 12 5521.904113616873
e 12 210 1953.2951349354557
e 210 12 1953.2951349354557
e 12 250 2099.623002519393
e 250 12 2099.623002519393
e 12 211 3889.826687570826
e 211 12 3889.826687570826
e 211 210 12235.859047934908
e 210 211 12235.859047934908
e 211 174 3360.5635758975686
e 174 211 3360.5635758975686
e 211 238 10729.012801882072
e 238 211 10729.012801882072
e 211 218 1765.7935896713034
e 218 211 1765.7935896713034
e 211 237 0.0
e 237 211 0.0
e 238 472 2804.1798461857215
e 472 238 2804.1798461857215
e 238 218 0.0
e 218 238 0.0
e 238 237 5334.7621217811875
e 237 238 5334.7621217811875
e 238 239 1438.8452606531566
e 239 238 1438.8452606531566
e 239 472 7912.2548344109455
e 472 239 7912.2548344109455
e 239 245 2736.867946759101
e 245 239 2736.867946759101
e 239 232 3533.0021716582446
e 232 239 3533.0021716582446
e 239 240 9999.481302592963
e 240 239 9999.481302592963
e 239 242 0.0
e 242 239 0.0
e 350 331 3379.837176832576
e 331 350 3379.837176832576
e 350 232 2676.9326041261434
e 232 350 2676.9326041261434
e 350 330 2588.358125802175
e 330 350 2588.358125802175
e 350 243 2285.7382270020958
e 243 350 2285.7382270020958
e 350 338 5293.621987540671
e 338 350 5293.621987540671
e 232 240 4954.27835452103
e 240 232 4954.27835452103
e 232 243 4853.263957366544
e 243 232 4853.263957366544
e 267 252 4659.260364276521
e 252 267 4659.260364276521
e 267 355 1099.156530752781
e 355 267 1099.156530752781
e 267 324 6589.451812784682
e 324 267 6589.451812784682
e 267 363 5791.763439094052
e 363 267 5791.763439094052
e 267 362 4912.228384162845
e 362 267 4912.228384162845
e 267 250 7719.516376739771
e 250 267 7719.516376739771
e 362 363 4231.09294387955
e 363 362 4231.09294387955
e 362 369 8281.426269476815
e 369 362 8281.426269476815
e 362 332 6499.643005381501
e 332 362 6499.643005381501
e 362 328 11.24289046362626
e 328 362 11.24289046362626
e 362 368 8567.49932581315
e 368 362 8567.49932581315
e 250 252 8477.188373787118
e 252 250 8477.188373787118
e 332 328 11648.592800809218
e 328 332 11648.592800809218
e 328 368 7850.029388867959
e 368 328 7850.029388867959
e 328 96 15020.839847662
e 96 328 15020.839847662
e 328 331 12041.853692239725
e 331 328 12041.853692239725
e 331 96 9544.978541382234
e 96 331 9544.978541382234
e 331 330 12474.866180541712
e 330 331 12474.866180541712
e 331 329 5170.158082036659
e 329 331 5170.158082036659
e 252 253 4589.099603212265
e 253 252 4589.099603212265
e 252 210 4146.47574248469
e 210 252 4146.47574248469
e 252 324 8565.135361435534
e 324 252 8565.135361435534
e 210 253 14968.853872498663
e 253 210 14968.853872498663
e 210 251 2008.582230377142
e 251 210 2008.582230377142
e 210 209 9234.75673313089
e 209 210 9234.75673313089
e 210 174 98.14328600791433
e 174 210 98.14328600791433
e 174 209 7330.6377429246195
e 209 174 7330.6377429246195
e 174 218 4607.412355380522
e 218 174 4607.412355380522
e 218 209 1475.9070893451217
e 209 218 1475.9070893451217
e 218 216 3274.241417548665
e 216 218 3274.241417548665
e 218 237 2692.893733410979
e 237 218 2692.893733410979
e 218 244 5466.462244148997
e 244 218 5466.462244148997
e 237 472 3116.7595000620813
e 472 237 3116.7595000620813
e 237 244 1435.9962273886988
e 244 237 1435.9962273886988
e 237 461 3159.249751606392
e 461 237 3159.249751606392
e 472 469 3137.4473836303937
e 469 472 3137.4473836303937
e 472 470 0.0
e 470 472 0.0
e 472 245 619.6846508510632
e 245 472 619.6846508510632
e 472 467 5681.416130862526
e 467 472 5681.416130862526
e 472 461 6560.454914495252
e 461 472 6560.454914495252
e 245 467 5817.929776858857
e 467 245 5817.929776858857
e 245 468 3577.669658727905
e 468 245 3577.669658727905
e 245 240 0.0
e 240 245 0.0
e 245 242 7618.823458545602
e 242 245 7618.823458545602
e 245 248 8270.363692775507
e 248 245 8270.363692775507
e 240 243 3395.1345931735573
e 243 240 3395.1345931735573
e 240 242 4550.783704971
e 242 240 4550.783704971
e 242 243 7262.500429599436
e 243 242 7262.500429599436
e 242 338 1323.0623135544577
e 338 242 1323.0623135544577
e 242 248 7166.357028262282
e 248 242 7166.357028262282
e 330 338 11518.909674374432
e 338 330 11518.909674374432
e 330 329 3467.339954565288
e 329 330 3467.339954565288
e 243 338 7764.7485661142555
e 338 243 7764.7485661142555
e 338 329 5434.0007061471215
e 329 338 5434.0007061471215
e 338 248 1979.0531192046085
e 248 338 1979.0531192046085
e 338 260 3467.8713270374956
e 260 338 3467.8713270374956
e 338 16 11405.247369995832
e 16 338 11405.247369995832
e 355 356 3464.4264905984573
e 356 355 3464.4264905984573
e 355 155 2476.5121423456503
e 155 355 2476.5121423456503
e 355 354 6878.370864502429
e 354 355 6878.370864502429
e 355 324 8460.33657633403
e 324 355 8460.33657633403
e 355 363 14752.628806311237
e 363 355 14752.628806311237
e 355 364 3600.5133717812705
e 364 355 3600.5133717812705
e 324 256 5072.970173647062
e 256 324 5072.970173647062
e 324 253 7626.466458917854
e 253 324 7626.466458917854
e 324 155 11813.626032742524
e 155 324 11813.626032742524
e 363 369 5097.052735103182
e 369 363 5097.052735103182
e 363 364 6427.586578438149
e 364 363 6427.586578438149
e 363 365 2872.2558201313013
e 365 363 2872.2558201313013
e 363 370 556.4148619444704
e 370 363 556.4148619444704
e 369 370 5086.789367022795
e 370 369 5086.789367022795
e 369 367 1539.6229821690022
e 367 369 1539.6229821690022
e 369 368 4081.227298952979
e 368 369 4081.227298952979
e 368 367 9341.357667096165
e 367 368 9341.357667096165
e 368 361 12422.306618282433
e 361 368 12422.306618282433
e 368 96 7601.382353343001
e 96 368 7601.382353343001
e 96 361 1085.1097062014392
e 361 96 1085.1097062014392
e 96 58 4725.410124101142
e 58 96 4725.410124101142
e 96 95 12339.114556463157
e 95 96 12339.114556463157
e 96 97 12022.516695204515
e 97 96 12022.516695204515
e 96 329 4029.776475379325
e 329 96 4029.776475379325
e 329 97 10978.860505877456
e 97 329 10978.860505877456
e 329 16 6641.48660438835
e 16 329 6641.48660438835
e 253 256 1746.747492376332
e 256 253 1746.747492376332
e 253 255 6887.9262911134865
e 255 253 6887.9262911134865
e 253 254 9558.66870534974
e 254 253 9558.66870534974
e 253 161 378.79047314968255
e 161 253 378.79047314968255
e 253 251 6892.175688758738
e 251 253 6892.175688758738
e 251 161 9488.724631666275
e 161 251 9488.724631666275
e 251 213 6515.348961311854
e 213 251 6515.348961311854
e 251 170 3204.9266624444163
e 170 251 3204.9266624444163
e 251 209 6594.178024317255
e 209 251 6594.178024317255
e 209 170 1133.349877519704
e 170 209 1133.349877519704
e 209 207 5821.698894021204
e 207 209 5821.698894021204
e 209 216 9617.947150353555
e 216 209 9617.947150353555
e 216 207 4363.529107423464
e 207 216 4363.529107423464
e 216 167 437.56688942925075
e 167 216 437.56688942925075
e 216 198 1579.2360771151752
e 198 216 1579.2360771151752
e 216 197 118.74644528921206
e 197 216 118.74644528921206
e 216 171 4587.620155867786
e 171 216 4587.620155867786
e 216 244 307.48259470419646
e 244 216 307.48259470419646
e 244 171 5628.808203010545
e 171 244 5628.808203010545
e 244 469 2559.2346940819375
e 469 244 2559.2346940819375
e 244 461 1324.5305247620172
e 461 244 1324.5305247620172
e 461 469 5126.3045156348935
e 469 461 5126.3045156348935
e 469 171 3588.6182218745425
e 171 469 3588.6182218745425
e 469 203 442.5248432997878
e 203 469 442.5248432997878
e 469 470 5428.445262485989
e 470 469 5428.445262485989
e 469 467 0.0
e 467 469 0.0
e 470 203 4340.539665100895
e 203 470 4340.539665100895
e 470 467 751.155929285457
e 467 470 751.155929285457
e 470 471 7120.9636563745
e 471 470 7120.9636563745
e 470 466 2973.8566537957613
e 466 470 2973.8566537957613
e 470 208 5926.649778055656
e 208 470 5926.649778055656
e 467 466 12089.83712478708
e 466 467 12089.83712478708
e 467 468 8415.338731376722
e 468 467 8415.338731376722
e 468 466 7397.325888517236
e 466 468 7397.325888517236
e 468 503 13142.586800668534
e 503 468 13142.586800668534
e 468 505 10530.531647546504
e 505 468 10530.531647546504
e 468 248 3677.13417410612
e 248 468 3677.13417410612
e 468 260 493.1130032563166
e 260 468 493.1130032563166
e 248 260 10655.338621226128
e 260 248 10655.338621226128
e 260 503 5568.222258715388
e 503 260 5568.222258715388
e 260 325 6843.891902828105
e 325 260 6843.891902828105
e 260 502 0.0
e 502 260 0.0
e 260 16 1381.4930712373048
e 16 260 1381.4930712373048
e 16 97 15481.430560411769
e 97 16 15481.430560411769
e 16 325 6406.596415542745
e 325 16 6406.596415542745
e 16 502 639.6761602639806
e 502 16 639.6761602639806
e 16 15 20616.320703604815
e 15 16 20616.320703604815
e 16 17 15140.016937045346
e 17 16 15140.016937045346
e 16 392 5752.207517786621
e 392 16 5752.207517786621
e 356 532 2639.3294437728464
e 532 356 2639.3294437728464
e 356 118 6324.115008845736
e 118 356 6324.115008845736
e 356 327 5320.411500081837
e 327 356 5320.411500081837
e 356 293 2507.637297368557
e 293 356 2507.637297368557
e 356 155 5889.339159760234
e 155 356 5889.339159760234
e 356 354 5938.905868527295
e 354 356 5938.905868527295
e 155 158 0.0
e 158 155 0.0
e 155 151 606.1613640724167
e 151 155 606.1613640724167
e 155 152 637.4909231096176
e 152 155 637.4909231096176
e 155 153 2747.328785960512
e 153 155 2747.328785960512
e 155 156 3872.2548945973444
e 156 155 3872.2548945973444
e 155 256 1963.2088766248598
e 256 155 1963.2088766248598
e 155 293 6150.840780692756
e 293 155 6150.840780692756
e 155 154 9514.695360550251
e 154 155 9514.695360550251
e 354 118 3747.687871112286
e 118 354 3747.687871112286
e 354 92 10108.042364644996
e 92 354 10108.042364644996
e 354 364 3962.3892163100627
e 364 354 3962.3892163100627
e 364 92 5571.926508730483
e 92 364 5571.926508730483
e 364 365 7889.430086080166
e 365 364 7889.430086080166
e 364 366 2778.022186403131
e 366 364 2778.022186403131
e 256 156 7384.601202007453
e 156 256 7384.601202007453
e 256 135 7171.179827775996
e 135 256 7171.179827775996
e 256 255 3431.543020246867
e 255 256 3431.543020246867
e 365 366 3782.6468430457116
e 366 365 3782.6468430457116
e 365 371 2384.4675284334376
e 371 365 2384.4675284334376
e 365 370 2009.2091169476785
e 370 365 2009.2091169476785
e 370 371 4064.5742309576794
e 371 370 4064.5742309576794
e 370 367 2632.6175848310663
e 367 370 2632.6175848310663
e 367 366 6372.774068071098
e 366 367 6372.774068071098
e 367 371 5218.49320791192
e 371 367 5218.49320791192
e 367 361 4096.810822357642
e 361 367 4096.810822357642
e 361 93 2949.305326920769
e 93 361 2949.305326920769
e 361 366 4116.084212744519
e 366 361 4116.084212744519
e 361 58 19715.873253723745
e 58 361 19715.873253723745
e 58 93 13104.753069567372
e 93 58 13104.753069567372
e 58 59 9776.767268986661
e 59 58 9776.767268986661
e 58 60 9574.65683819346
e 60 58 9574.65683819346
e 58 94 11094.669224062667
e 94 58 11094.669224062667
e 58 95 6883.493142504909
e 95 58 6883.493142504909
e 95 94 13046.748637709034
e 94 95 13046.748637709034
e 95 97 4105.274204018657
e 97 95 4105.274204018657
e 95 98 9194.293865487634
e 98 95 9194.293865487634
e 97 98 26961.97006708202
e 98 97 26961.97006708202
e 97 17 6183.28806083795
e 17 97 6183.28806083795
e 255 163 6694.664861852245
e 163 255 6694.664861852245
e 255 320 14578.757300950709
e 320 255 14578.757300950709
e 255 156 3455.08595278515
e 156 255 3455.08595278515
e 255 135 13415.212485765185
e 135 255 13415.212485765185
e 255 254 13231.129780440515
e 254 255 13231.129780440515
e 255 162 1117.0937454378936
e 162 255 1117.0937454378936
e 255 161 14190.703437971966
e 161 255 14190.703437971966
e 254 161 8687.674352835975
e 161 254 8687.674352835975
e 161 162 5726.390360728728
e 162 161 5726.390360728728
e 161 275 12400.974844007222
e 275 161 12400.974844007222
e 161 213 1777.007767551486
e 213 161 1777.007767551486
e 213 275 3247.229799821222
e 275 213 3247.229799821222
e 213 236 3798.3696649424155
e 236 213 3798.3696649424155
e 213 215 9119.484625334484
e 215 213 9119.484625334484
e 213 214 4641.415721163491
e 214 213 4641.415721163491
e 213 170 9988.734919334696
e 170 213 9988.734919334696
e 213 172 1191.5504142422121
e 172 213 1191.5504142422121
e 170 207 9033.941984386813
e 207 170 9033.941984386813
e 170 168 6499.483599462731
e 168 170 6499.483599462731
e 170 172 7920.870805147439
e 172 170 7920.870805147439
e 170 206 0.0
e 206 170 0.0
e 207 168 2614.860416569244
e 168 207 2614.860416569244
e 207 167 4120.624437085027
e 167 207 4120.624437085027
e 167 168 1281.1951057241022
e 168 167 1281.1951057241022
e 167 202 1188.4000039661742
e 202 167 1188.4000039661742
e 167 199 1532.0174250210557
e 199 167 1532.0174250210557
e 167 198 4959.825549544684
e 198 167 4959.825549544684
e 198 199 649.0530632637677
e 199 198 649.0530632637677
e 198 197 6021.761894451036
e 197 198 6021.761894451036
e 198 166 0.0
e 166 198 0.0
e 198 192 1471.6476388401293
e 192 198 1471.6476388401293
e 197 192 4725.133402489104
e 192 197 4725.133402489104
e 197 171 1580.2805869035503
e 171 197 1580.2805869035503
e 171 192 1236.0162849401431
e 192 171 1236.0162849401431
e 171 201 6523.539121974249
e 201 171 6523.539121974249
e 171 203 6435.266943846533
e 203 171 6435.266943846533
e 203 201 4013.256357705135
e 201 203 4013.256357705135
e 203 189 5895.190351907744
e 189 203 5895.190351907744
e 203 208 1429.4870535141952
e 208 203 1429.4870535141952
e 471 466 6273.330999501904
e 466 471 6273.330999501904
e 471 208 6480.651401869833
e 208 471 6480.651401869833
e 466 505 2860.5970942186823
e 505 466 2860.5970942186823
e 466 208 2674.4394525372054
e 208 466 2674.4394525372054
e 208 189 1819.294165637582
e 189 208 1819.294165637582
e 208 505 1811.5387108088478
e 505 208 1811.5387108088478
e 208 204 4277.593386163683
e 204 208 4277.593386163683
e 208 205 6898.11799794407
e 205 208 6898.11799794407
e 208 169 5835.424804207185
e 169 208 5835.424804207185
e 503 505 12482.133833781612
e 505 503 12482.133833781612
e 503 325 0.0
e 325 503 0.0
e 503 502 6348.67292315842
e 502 503 6348.67292315842
e 503 504 5859.17142655432
e 504 503 5859.17142655432
e 503 14 10116.262063064281
e 14 503 10116.262063064281
e 505 169 5820.652073037196
e 169 505 5820.652073037196
e 505 312 17179.194432906985
e 312 505 17179.194432906985
e 505 522 13111.55020693939
e 522 505 13111.55020693939
e 505 14 6390.312853147871
e 14 505 6390.312853147871
e 505 13 4052.2936083632158
e 13 505 4052.2936083632158
e 325 502 10119.191616684842
e 502 325 10119.191616684842
e 502 504 5840.27136204548
e 504 502 5840.27136204548
e 502 15 4481.5260487016
e 15 502 4481.5260487016
e 15 504 5348.311632803461
e 504 15 5348.311632803461
e 15 14 11306.740585057129
e 14 15 11306.740585057129
e 15 459 10375.225199380156
e 459 15 10375.225199380156
e 15 392 4070.761888439159
e 392 15 4070.761888439159
e 17 98 7691.870626097111
e 98 17 7691.870626097111
e 17 100 15122.775592159858
e 100 17 15122.775592159858
e 17 392 7168.919548105628
e 392 17 7168.919548105628
e 17 18 12226.33974562744
e 18 17 12226.33974562744
e 392 460 9110.403905628811
e 460 392 9110.403905628811
e 392 459 5536.962687085812
e 459 392 5536.962687085812
e 392 18 19854.51824526064
e 18 392 19854.51824526064
e 392 10 22449.1008326243
e 10 392 22449.1008326243
e 392 19 5014.712343395458
e 19 392 5014.712343395458
e 532 531 6184.000102901937
e 531 532 6184.000102901937
e 532 533 6673.10392319813
e 533 532 6673.10392319813
e 532 118 12099.637171428141
e 118 532 12099.637171428141
e 532 327 1553.7756068472115
e 327 532 1553.7756068472115
e 118 339 2251.5204124694706
e 339 118 2251.5204124694706
e 118 531 4048.273215548035
e 531 118 4048.273215548035
e 118 91 17555.056104245003
e 91 118 17555.056104245003
e 118 92 11519.464074807447
e 92 118 11519.464074807447
e 327 129 1453.5202692450505
e 129 327 1453.5202692450505
e 327 533 5105.894220156003
e 533 327 5105.894220156003
e 327 158 2524.665519666309
e 158 327 2524.665519666309
e 327 293 3975.291472900126
e 293 327 3975.291472900126
e 293 158 3836.3860638334786
e 158 293 3836.3860638334786
e 293 151 0.0
e 151 293 0.0
e 158 129 3816.79462850913
e 129 158 3816.79462850913
e 158 145 2012.0800127387733
e 145 158 2012.0800127387733
e 158 151 887.8074557690996
e 151 158 887.8074557690996
e 151 146 0.0
e 146 151 0.0
e 151 145 1936.5527460646372
e 145 151 1936.5527460646372
e 151 150 3095.0681932706307
e 150 151 3095.0681932706307
e 151 152 3992.533882819481
e 152 151 3992.533882819481
e 152 150 858.0497424469797
e 150 152 858.0497424469797
e 152 136 129.7824504509979
e 136 152 129.7824504509979
e 152 134 1193.1428581682703
e 134 152 1193.1428581682703
e 152 153 4224.267979494256
e 153 152 4224.267979494256
e 153 134 611.1571785930537
e 134 153 611.1571785930537
e 153 176 1084.2804740943945
e 176 153 1084.2804740943945
e 153 154 5066.017920365438
e 154 153 5066.017920365438
e 156 176 5317.480431661622
e 176 156 5317.480431661622
e 156 320 8942.895441719538
e 320 156 8942.895441719538
e 156 154 6188.816849799769
e 154 156 6188.816849799769
e 154 176 2011.851860848805
e 176 154 2011.851860848805
e 92 91 5995.450389822387
e 91 92 5995.450389822387
e 92 377 9537.124133343617
e 377 92 9537.124133343617
e 92 346 6724.599481205266
e 346 92 6724.599481205266
e 92 345 1652.1934619421934
e 345 92 1652.1934619421934
e 92 93 9263.311260740187
e 93 92 9263.311260740187
e 92 366 7612.5639817611855
e 366 92 7612.5639817611855
e 366 93 9417.512803084295
e 93 366 9417.512803084295
e 366 371 1483.6838647859395
e 371 366 1483.6838647859395
e 93 345 6878.566594816908
e 345 93 6878.566594816908
e 93 59 7019.503302527256
e 59 93 7019.503302527256
e 59 345 11260.825104302097
e 345 59 11260.825104302097
e 59 88 12791.892220247659
e 88 59 12791.892220247659
